City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Salisbury,GB,51.0693,-1.7957,72.41,80,75,9.22,light intensity drizzle
276,Yoichi,JP,43.2039,140.7703,71.78,89,1,3.85,clear sky
277,Puerto Suarez,BO,-18.95,-57.8,93.76,31,0,8.05,clear sky
278,Taunggyi,MM,20.7833,97.0333,65.14,97,100,3.22,overcast clouds
279,Antofagasta,CL,-23.65,-70.4,66.22,60,83,8.72,broken clouds
280,Gebre Guracha,ET,9.8,38.4,53.49,93,100,2.98,light rain
281,Isangel,VU,-19.55,169.2667,75.16,87,68,8.14,broken clouds
282,Zambezi,ZM,-13.5432,23.1047,73.94,21,0,8.63,clear sky
283,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,64.27,60,98,4.27,overcast clouds
284,Manakara,MG,-22.1333,48.0167,64.96,74,100,9.62,light rain
285,Goure,NE,13.9835,10.2704,89.02,38,71,9.44,broken clouds
286,Caxias,PT,38.7031,-9.2767,76.48,72,75,7.0,broken clouds
287,Aitape,PG,-3.1374,142.3475,75.06,88,99,6.91,overcast clouds
288,Grootfontein,NA,-19.5667,18.1167,71.17,26,0,11.5,clear sky
289,Thinadhoo,MV,0.5333,72.9333,82.47,69,53,3.49,broken clouds
290,Abu Samrah,SY,35.3029,37.1841,95.63,23,1,13.11,clear sky
291,Adelaide,AU,-34.9333,138.6,55.58,89,75,1.01,broken clouds
292,Banda Aceh,ID,5.5577,95.3222,80.92,81,88,7.31,overcast clouds
293,Arlit,NE,18.7369,7.3853,107.33,10,2,7.07,clear sky
294,Simao,CN,22.7886,100.9748,64.49,99,100,1.1,moderate rain
295,Vardo,NO,70.3705,31.1107,52.0,93,75,14.97,broken clouds
296,Mareeba,AU,-17.0,145.4333,68.72,77,39,2.17,scattered clouds
297,Braganca,BR,-1.0536,-46.7656,90.7,44,64,4.34,broken clouds
298,Buta,CD,2.7858,24.73,82.08,59,82,1.32,broken clouds
299,Krasnoselkup,RU,65.7,82.4667,59.41,84,68,6.42,broken clouds
300,Touros,BR,-5.1989,-35.4608,85.1,55,18,18.68,few clouds
301,Kollam,IN,8.8833,76.6,82.27,89,97,16.84,overcast clouds
302,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,87,75,11.5,broken clouds
303,Wajir,KE,1.7471,40.0573,85.96,39,75,3.44,broken clouds
304,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,80.4,94,75,4.61,broken clouds
305,Iquique,CL,-20.2208,-70.1431,60.84,73,99,6.89,overcast clouds
306,Nerchinskiy Zavod,RU,51.3088,119.61,54.28,95,12,3.44,few clouds
307,Watsa,CD,3.0372,29.5355,68.38,93,57,2.75,moderate rain
308,Silver City,US,32.7701,-108.2803,71.67,73,95,1.01,overcast clouds
309,Los Llanos De Aridane,ES,28.6585,-17.9182,76.12,77,20,17.27,few clouds
310,Tymovskoye,RU,50.8456,142.655,71.37,90,52,4.21,broken clouds
311,Olinda,BR,-8.0089,-34.8553,78.53,69,20,13.8,few clouds
312,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,68,52,7.63,broken clouds
313,Uray,RU,60.1247,64.7758,58.57,51,61,11.56,broken clouds
314,Te Anau,NZ,-45.4167,167.7167,46.83,93,100,3.27,overcast clouds
315,Bitung,ID,1.4451,125.1824,83.25,86,97,15.57,overcast clouds
316,Jining,CN,35.405,116.5814,76.91,78,56,5.03,broken clouds
317,Tasiilaq,GL,65.6145,-37.6368,48.36,88,67,1.32,broken clouds
318,Codrington,AU,-38.2667,141.9667,50.31,93,97,14.5,overcast clouds
319,Saint George,US,37.1041,-113.5841,87.53,55,12,1.01,few clouds
320,Ust-Tsilma,RU,65.441,52.1498,47.93,92,99,7.76,overcast clouds
321,Sitka,US,57.0531,-135.33,53.49,87,75,0.0,broken clouds
322,Coquimbo,CL,-29.9533,-71.3436,56.93,67,0,5.75,clear sky
323,Szczytno,PL,53.5626,20.9875,80.53,44,0,10.36,clear sky
324,Harlingen,US,26.1906,-97.6961,89.51,89,40,9.22,scattered clouds
325,Avera,US,33.194,-82.5271,85.71,55,97,3.0,overcast clouds
326,Lavrentiya,RU,65.5833,-171.0,44.06,99,100,5.91,light rain
327,Izhma,RU,65.0083,53.9113,49.6,94,98,7.83,overcast clouds
328,Goderich,CA,43.7501,-81.7165,78.21,78,0,5.75,clear sky
329,Moundou,TD,8.5667,16.0833,89.83,62,40,13.8,scattered clouds
330,Martapura,ID,-3.4167,114.85,75.29,88,1,1.14,mist
331,San Juan De Los Morros,VE,9.9115,-67.3538,76.93,85,100,3.56,overcast clouds
332,Atherton,GB,53.5237,-2.4935,77.56,52,84,8.99,broken clouds
333,Bayan,CN,46.0833,127.4,73.06,89,100,4.14,overcast clouds
334,Luwero,UG,0.8492,32.4731,72.84,49,85,7.18,overcast clouds
335,Salalah,OM,17.0151,54.0924,78.89,94,75,10.36,broken clouds
336,Hofn,IS,64.2539,-15.2082,55.42,76,20,16.11,few clouds
337,Yarovoye,RU,52.9273,78.58,77.07,45,61,2.93,broken clouds
338,Zhigansk,RU,66.7697,123.3711,58.87,61,51,5.66,broken clouds
339,Pacific Grove,US,36.6177,-121.9166,60.42,94,90,1.99,overcast clouds
340,Bloomington,US,44.8408,-93.2983,86.32,42,1,5.75,clear sky
341,Montepuez,MZ,-13.1256,38.9997,69.91,44,66,10.27,broken clouds
342,Pankrushikha,RU,53.8319,80.3406,70.66,64,69,1.19,broken clouds
343,Japura,ID,-0.3167,102.35,79.59,76,90,3.58,overcast clouds
