City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,San Vicente,AR,79.56,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
597,Coahuayana,MX,86.09,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
598,Odienne,CI,81.3,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
599,Marivan,IR,87.51,clear sky,35.5219,46.176,Teacher's House
600,Santarem,BR,87.93,few clouds,-2.4431,-54.7083,Ecotur Lodge
603,Ituiutaba,BR,82.45,clear sky,-18.9689,-49.465,Bernal Hotel
605,Seoul,KR,81.97,clear sky,37.5683,126.9778,롯데호텔 서울
606,Tanete,ID,72.05,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
607,Atsipopoulon,GR,81.25,scattered clouds,35.35,24.4333,Thalassa Boutique Hotel
609,Boddam,GB,77.38,clear sky,57.4667,-1.7833,Palace Hotel
611,Moussoro,TD,78.24,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
612,Lidkoping,SE,83.91,overcast clouds,58.5052,13.1577,Hotell Läckö - GRAND HOTEL
613,Bereda,ES,76.41,broken clouds,43.2686,-7.5406,Pazo de Verdes
616,Mayo,US,87.3,clear sky,38.8876,-76.5119,Resorts Resource Group International
617,Camabatela,AO,83.16,clear sky,-8.1881,15.375,Pensão E Restaurantes
618,Olesnica,PL,79.52,overcast clouds,51.2134,17.3899,Perła
619,Newberry,US,86.79,overcast clouds,34.2746,-81.6187,Hampton Inn Newberry-Opera House
620,Tabou,CI,79.11,overcast clouds,4.423,-7.3528,hotêl doufoulougou
622,Los Llanos De Aridane,ES,77.13,few clouds,28.6585,-17.9182,Valle Aridane
625,Hobyo,SO,77.74,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
627,Maumere,ID,74.95,broken clouds,-8.6199,122.2111,Sylvia Hotel
628,Namatanai,PG,78.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
630,Puerto Penasco,MX,84.9,broken clouds,31.3167,-113.5333,Playa Bonita Resort
